gene_id,S2-12h,S2-24h,S2-Oh,S3-12h,S3-24h,S3-Oh,W2-12h,W2-24h,W2-Oh,W3-12h,W3-24h,W3-Oh
gene:Zm00001d019796,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d019797,0,0,0,0,0,0,106,89,121,83,227,162
gene:Zm00001d019794,34,41,99,2,0,19,159,191,158,92,216,138
gene:Zm00001d019795,0,0,0,0,0,0,0,5,0,4,0,0
gene:Zm00001d032849,111,1504,2190,175,991,931,170,2262,1613,81,1626,1893
gene:Zm00001d012419,23,25,0,26,21,0,0,23,0,0,0,0
gene:Zm00001d032845,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d032844,11,10,31,0,0,0,0,15,12,13,16,24
gene:Zm00001d012416,0,0,1,0,0,0,0,0,0,0,0,0
gene:Zm00001d032846,64,196,200,0,3,0,2,0,0,2,0,0
gene:Zm00001d012411,7,0,11,10,3,6,21,0,0,0,0,0
gene:Zm00001d012412,0,0,0,0,2,0,0,0,0,0,0,0
gene:Zm00001d012413,0,4,0,30,26,8,0,0,0,0,0,0
gene:Zm00001d040968,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d037429,1092,1503,1634,2430,1487,1473,1709,1872,1687,1406,3018,2679
gene:Zm00001d033468,1557,1983,3135,1288,1511,1443,1298,1471,1117,795,1451,1436
gene:Zm00001d033469,2227,2008,5470,3028,2023,2935,3039,1771,1852,2393,1737,2493
gene:Zm00001d033464,4,0,4,14,2,12,16,7,18,11,34,3
gene:Zm00001d033465,0,12,0,214,0,100,274,44,302,38,277,208
gene:Zm00001d033466,4,23,56,32,11,3,55,11,25,7,37,51
gene:Zm00001d033467,621,642,1138,861,743,658,885,976,907,589,1441,1097
gene:Zm00001d033460,0,0,0,0,5,0,0,0,0,0,4,0
gene:Zm00001d033461,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d033462,13,40,2,4,41,0,0,12,0,9,21,0
gene:Zm00001d033463,163,560,194,132,336,56,54,89,162,37,56,31
gene:Zm00001d019248,0,0,0,0,0,8,0,0,0,0,0,0
gene:Zm00001d019249,1220,1465,1508,2513,1722,984,751,1196,631,857,1736,1360
gene:Zm00001d019245,0,0,39,0,0,0,0,0,0,0,34,0
gene:Zm00001d019246,0,0,0,26,19,32,0,0,6,0,0,0
gene:Zm00001d019247,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d019240,42,17,74,39,76,73,8,68,78,18,201,107
gene:Zm00001d019241,282,419,575,418,316,378,456,533,461,243,537,541
gene:Zm00001d019243,0,0,0,0,0,9,0,0,0,0,0,0
gene:Zm00001d048648,0,4,0,4,0,0,0,6,4,9,0,0
